method,training_period,holding_period,code,eligible,posterior_mean_sharpe,observations,posterior_standard_error,rank,group,selected
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159852.SZ,True,-1.398498745857617,2.0,0.5231658966384953,48,a_share,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512170.SH,True,-1.512153716437847,1.0,0.739868306397241,49,a_share,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159201.SZ,False,,,,,a_share,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159206.SZ,False,,,,,a_share,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159209.SZ,False,,,,,a_share,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159326.SZ,False,,,,,a_share,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159329.SZ,False,,,,,global,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159509.SZ,False,,,,,global,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159518.SZ,False,,,,,global,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159529.SZ,False,,,,,global,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159611.SZ,False,,,,,a_share,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159687.SZ,False,,,,,global,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159796.SZ,False,,,,,a_share,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513070.SH,False,,,,,hong_kong,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513120.SH,False,,,,,hong_kong,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513290.SH,False,,,,,global,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513310.SH,False,,,,,global,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513400.SH,False,,,,,global,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513730.SH,False,,,,,global,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513750.SH,False,,,,,hong_kong,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,520870.SH,False,,,,,global,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,562500.SH,False,,,,,a_share,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,563300.SH,False,,,,,a_share,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,588200.SH,False,,,,,a_share,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,588220.SH,False,,,,,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159796.SZ,True,0.9817850278027962,16.0,0.14370602958363576,1,a_share,True
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,562500.SH,True,0.7912984204340519,20.0,0.12853458037024215,2,a_share,True
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,515790.SH,True,0.7675319590972849,18.0,0.1354873440213113,3,a_share,True
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159915.SZ,True,0.6909543870824121,9.0,0.1916080394448477,4,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,510500.SH,True,0.6608383987785272,12.0,0.16593742972856887,5,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,501018.SH,True,0.6445864762100965,77.0,0.06550728788830766,6,commodity,True
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,510180.SH,True,0.6368409324000007,4.0,0.2874120591672715,7,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159870.SZ,True,0.6358849305682084,14.0,0.15362820774730437,8,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513500.SH,True,0.6158279606234905,63.0,0.07242103165310307,9,global,True
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512170.SH,True,0.590275842012242,15.0,0.14841894915386977,10,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513180.SH,True,0.5887319350609396,67.0,0.07022594313953416,11,hong_kong,True
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159766.SZ,True,0.5777236513622994,10.0,0.18177534679353102,12,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,510050.SH,True,0.5541469076541077,13.0,0.1594275256175827,13,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159985.SZ,True,0.550071618776162,74.0,0.06682194644938838,14,commodity,True
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159852.SZ,True,0.5469258261275646,15.0,0.14841894915386977,15,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,164824.SZ,True,0.5175253735010673,79.0,0.06467276606986634,16,global,True
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513080.SH,True,0.5136386020574262,56.0,0.07681410387365219,17,global,True
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,518880.SH,True,0.5045401144312718,65.0,0.07129815695310081,18,commodity,True
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159980.SZ,True,0.4956528442100866,80.0,0.06426729018512108,19,commodity,True
