method,training_year,holding_year,code,eligible,estimated_contribution,locked,lock_order,rank,group,selected
rolling_sequential_forward,2021,2022,513750.SH,False,,False,,,hong_kong,False
rolling_sequential_forward,2021,2022,520870.SH,False,,False,,,global,False
rolling_sequential_forward,2021,2022,562500.SH,False,,False,,,a_share,False
rolling_sequential_forward,2021,2022,563300.SH,False,,False,,,a_share,False
rolling_sequential_forward,2021,2022,588200.SH,False,,False,,,a_share,False
rolling_sequential_forward,2021,2022,588220.SH,False,,False,,,a_share,False
rolling_sequential_forward,2022,2023,501018.SH,True,0.5698073445749401,True,4.0,1,commodity,True
rolling_sequential_forward,2022,2023,562500.SH,True,0.563408663269216,True,2.0,2,a_share,True
rolling_sequential_forward,2022,2023,159985.SZ,True,0.5407491476132539,True,5.0,3,commodity,True
rolling_sequential_forward,2022,2023,164824.SZ,True,0.5031608912969862,True,6.0,4,global,True
rolling_sequential_forward,2022,2023,510500.SH,True,0.44943642158841096,True,1.0,5,a_share,True
rolling_sequential_forward,2022,2023,159901.SZ,True,0.41684702030209614,True,3.0,6,a_share,True
rolling_sequential_forward,2022,2023,512890.SH,True,0.21516077964150007,False,,7,a_share,False
rolling_sequential_forward,2022,2023,518880.SH,True,0.19781535262277886,False,,8,commodity,True
rolling_sequential_forward,2022,2023,513500.SH,True,0.06515648359724,False,,9,global,True
rolling_sequential_forward,2022,2023,159766.SZ,True,0.05620346571649304,False,,10,a_share,False
rolling_sequential_forward,2022,2023,159980.SZ,True,0.04817451010711177,False,,11,commodity,True
rolling_sequential_forward,2022,2023,510180.SH,True,0.0060835190512252835,False,,12,a_share,False
rolling_sequential_forward,2022,2023,513080.SH,True,-0.00784118684984686,False,,13,global,True
rolling_sequential_forward,2022,2023,159967.SZ,True,-0.017464011592498385,False,,14,a_share,False
rolling_sequential_forward,2022,2023,515790.SH,True,-0.017464011592498385,False,,15,a_share,False
rolling_sequential_forward,2022,2023,513880.SH,True,-0.0358554881459672,False,,16,global,True
rolling_sequential_forward,2022,2023,160644.SZ,True,-0.037364534656765674,False,,17,global,False
rolling_sequential_forward,2022,2023,513100.SH,True,-0.04357044782936206,False,,18,global,False
rolling_sequential_forward,2022,2023,513030.SH,True,-0.06747061212239741,False,,19,global,False
rolling_sequential_forward,2022,2023,512800.SH,True,-0.09764372083071879,False,,20,a_share,False
rolling_sequential_forward,2022,2023,512100.SH,True,-0.1420172636085228,False,,21,a_share,False
rolling_sequential_forward,2022,2023,516150.SH,True,-0.14513208755013113,False,,22,a_share,False
rolling_sequential_forward,2022,2023,159949.SZ,True,-0.1886085064621215,False,,23,a_share,False
rolling_sequential_forward,2022,2023,512170.SH,True,-0.20678277625184652,False,,24,a_share,False
rolling_sequential_forward,2022,2023,159611.SZ,True,-0.2130510044010458,False,,25,a_share,False
rolling_sequential_forward,2022,2023,515210.SH,True,-0.24951695633972032,False,,26,a_share,False
rolling_sequential_forward,2022,2023,512660.SH,True,-0.31068721392988796,False,,27,a_share,False
rolling_sequential_forward,2022,2023,161226.SZ,True,-0.3360007663027482,False,,28,commodity,False
rolling_sequential_forward,2022,2023,510300.SH,True,-0.3778527486121534,False,,29,a_share,False
rolling_sequential_forward,2022,2023,510050.SH,True,-0.3840367713417433,False,,30,a_share,False
rolling_sequential_forward,2022,2023,159870.SZ,True,-0.39891765886099895,False,,31,a_share,False
rolling_sequential_forward,2022,2023,159981.SZ,True,-0.42584195910854916,False,,32,commodity,False
rolling_sequential_forward,2022,2023,159852.SZ,True,-0.429221089140151,False,,33,a_share,False
rolling_sequential_forward,2022,2023,159915.SZ,True,-0.43285058443545826,False,,34,a_share,False
rolling_sequential_forward,2022,2023,159825.SZ,True,-0.443548349206494,False,,35,a_share,False
rolling_sequential_forward,2022,2023,512400.SH,True,-0.45007237866792327,False,,36,a_share,False
rolling_sequential_forward,2022,2023,510210.SH,True,-0.45323184476160355,False,,37,a_share,False
rolling_sequential_forward,2022,2023,512200.SH,True,-0.45323184476160355,False,,38,a_share,False
rolling_sequential_forward,2022,2023,515220.SH,True,-0.4622355656941185,False,,39,a_share,False
rolling_sequential_forward,2022,2023,159869.SZ,True,-0.47650578565348795,False,,40,a_share,False
