method,description,half_year_rank,one_year_rank,rank_change,half_year_final_net_value,one_year_final_net_value,final_net_value_change,half_year_annual_return,one_year_annual_return,annual_return_change,half_year_max_drawdown,one_year_max_drawdown,max_drawdown_change,half_year_annual_volatility,one_year_annual_volatility,annual_volatility_change,half_year_sharpe,one_year_sharpe,sharpe_change,half_year_calmar,one_year_calmar,calmar_change,final_net_value_change_pct
rolling_sequential_forward,逐步锁定高贡献代码,11,9,-2,1.5503385428841323,1.5387526674226375,0.01158587546149481,0.1011545951541836,0.0993408727071798,0.0018137224470037988,0.1265047229130144,0.104450181997049,0.022054540915965398,0.1071188776250428,0.106928921290878,0.00018995633416479807,0.6091609302197518,0.5940375096125089,0.015123420607242921,0.7996112147033304,0.9510837684321742,-0.15147255372884383,0.007529394233902975
rolling_multi_start_hill,多起点局部爬山搜索,12,5,-7,1.5407440023124874,1.6766671174128267,-0.13592311510033928,0.0996533647768709,0.1202749512299183,-0.020621586453047402,0.1527678458929472,0.1130824966567766,0.039685349236170606,0.1109854916294691,0.1130548509630873,-0.0020693593336182092,0.5788308016581156,0.74011410662028,-0.16128330496216436,0.6523189758576781,1.0636036060909764,-0.4112846302332983,-0.08106744248081565
rolling_ridge_surrogate,用岭回归代理模型估计代码边际影响,13,7,-6,1.5070541160406667,1.601992454831277,-0.0949383387906102,0.0943235450086661,0.109114425759818,-0.014790880751151897,0.1421399332051371,0.0948038654018272,0.0473360678033099,0.11085832693707,0.1101414307861072,0.0007168961509627925,0.5343352379315842,0.6628831866269688,-0.12854794869538455,0.6635963791578391,1.1509491231959292,-0.48735274403809015,-0.059262662882272554
rolling_sequential_backward,逐步淘汰低贡献代码,14,3,-11,1.4951142898110854,1.6897894992740332,-0.1946752094629478,0.092412320304213,0.1221959135196453,-0.029783593215432308,0.1186644932944387,0.1002528295361719,0.018411663758266805,0.1067678186496791,0.1054303119190662,0.0013375067306129057,0.5336685247118871,0.8025613010414906,-0.2688927763296035,0.7787697712989269,1.2188774529855648,-0.44010768168663794,-0.11520678140477503
rolling_beam_search,同时保留多个高分搜索分支,15,2,-13,1.4657441954454988,1.7355377358198725,-0.26979354037437364,0.0876598173027214,0.128803189958724,-0.0411433726560026,0.1488064617401995,0.1158055124705619,0.03300094926963762,0.1090687327837205,0.1131181025589873,-0.004049369775266792,0.4833788026223479,0.8091828324308126,-0.3258040298084647,0.5890860939612037,1.1122371224898833,-0.5231510285286796,-0.1554524196196302
rolling_thompson_sampling,按代码表现后验进行 Thompson 抽样,16,4,-12,1.356478493970035,1.6662130924502476,-0.3097345984802127,0.0692990270063642,0.1187361922218481,-0.0494371652154839,0.1349107045709812,0.0894036833873137,0.04550702118366749,0.1085887585473992,0.1079265162910086,0.0006622422563905966,0.3231276592382235,0.7568881415164435,-0.43376048227821995,0.5136658890540716,1.3280906079390535,-0.8144247188849819,-0.18589134840174182
rolling_random_best,随机组合中选择训练期 Sharpe 最高者,17,17,0,1.3460813894850558,1.3678089797881048,-0.021727590303048938,0.0674924704762498,0.0712555031847921,-0.0037630327085422938,0.1476502484931658,0.1405168068820872,0.007133441611078595,0.1159316222048926,0.1132343783566963,0.002697243848196307,0.2950080235432287,0.3312492127278346,-0.03624118918460589,0.4571104428542414,0.507095946498309,-0.04998550364406762,-0.015884959540487076
rolling_evolution_strategy,父代加子代精英保留的进化策略,18,11,-7,1.270861127005371,1.529272314103324,-0.2584111870979531,0.0540875502800868,0.0978488178627792,-0.0437612675826924,0.1465550808454829,0.1042734542841193,0.04228162656136361,0.1068233898609025,0.1096748203320851,-0.002851430471182595,0.1882696931960587,0.5691298850238748,-0.38086019182781616,0.3690595369880953,0.9383866539624302,-0.5693271169743348,-0.1689765679498817
rolling_cross_entropy,用精英样本逐批更新代码抽样概率,19,8,-11,1.191676811591312,1.5702880454114998,-0.3786112338201879,0.039289770641216,0.1042529777559722,-0.0649632071147562,0.150602473608914,0.0938833937601679,0.05671907984874609,0.111203555349201,0.1071003763771242,0.004103178972076793,0.0539737962407298,0.6362459041742583,-0.5822721079335285,0.2608839662437693,1.1104517378472076,-0.8495677716034383,-0.24110941615235404
rolling_simulated_annealing,按降温概率接受短期退步,20,13,-7,1.1688615680049173,1.5200575287893583,-0.35119596078444104,0.0348839953877844,0.0963916265328763,-0.061507631145091904,0.152507841315542,0.0981026677333281,0.05440517358221389,0.1101935887259899,0.1153607289162701,-0.005167140190280195,0.0135646193292922,0.5347876289923738,-0.5212230096630815,0.2287357494989957,0.9825586679752396,-0.7538229184762439,-0.2310412297777632
