method,training_year,holding_year,code,eligible,shapley_score,included_count,excluded_count,included_mean_sharpe,excluded_mean_sharpe,contribution,standard_error,rank,group,selected
rolling_shapley,2022,2023,512100.SH,True,0.00475920341041694,8,92,-0.12744840031296167,-0.13220760372337861,0.00475920341041694,0.10563229499361533,23,a_share,False
rolling_shapley,2022,2023,159796.SZ,True,0.004738284981815333,4,96,-0.12727811386800253,-0.13201639884981786,0.004738284981815333,0.1685236374531788,24,a_share,False
rolling_shapley,2022,2023,510210.SH,True,-0.008965564416894334,7,93,-0.14016484235825696,-0.13119927794136263,-0.008965564416894334,0.11761229195170998,25,a_share,False
rolling_shapley,2022,2023,159928.SZ,True,-0.019846533789071058,7,93,-0.15028414387438133,-0.13043761008531027,-0.019846533789071058,0.12035424014351638,26,a_share,False
rolling_shapley,2022,2023,159901.SZ,True,-0.020045408255820046,7,93,-0.15046909712845788,-0.13042368887263783,-0.020045408255820046,0.15868702849304728,27,a_share,False
rolling_shapley,2022,2023,513030.SH,True,-0.027090631506191898,50,50,-0.1453721832036412,-0.1182815516974493,-0.027090631506191898,0.07103565669369886,28,global,True
rolling_shapley,2022,2023,513500.SH,True,-0.03474253878388607,48,52,-0.14989298761816602,-0.11515044883427995,-0.03474253878388607,0.07124731950463017,29,global,False
rolling_shapley,2022,2023,159980.SZ,True,-0.03938397160191168,70,30,-0.14364205893111875,-0.10425808732920708,-0.03938397160191168,0.08565489425719229,30,commodity,True
rolling_shapley,2022,2023,159865.SZ,True,-0.04340318509532179,7,93,-0.17219182958919452,-0.12878864449387273,-0.04340318509532179,0.08640777099800692,31,a_share,False
rolling_shapley,2022,2023,512800.SH,True,-0.044148055784735546,11,89,-0.17111863709895989,-0.12697058131422434,-0.044148055784735546,0.12590778027735655,32,a_share,False
rolling_shapley,2022,2023,515880.SH,True,-0.045858641805370026,5,95,-0.17539257716564677,-0.12953393536027674,-0.045858641805370026,0.15419788939710125,33,a_share,False
rolling_shapley,2022,2023,513080.SH,True,-0.0621673409224856,42,58,-0.1678839251855869,-0.1057165842631013,-0.0621673409224856,0.07338317022460517,34,global,False
rolling_shapley,2022,2023,518880.SH,True,-0.07262944091788129,64,36,-0.1579734661809825,-0.08534402526310123,-0.07262944091788129,0.07303215540574536,35,commodity,True
rolling_shapley,2022,2023,513880.SH,True,-0.0968682560499947,67,33,-0.16379339194704348,-0.06692513589704878,-0.0968682560499947,0.07013940985201648,36,global,False
rolling_shapley,2022,2023,512890.SH,True,-0.10156267234418578,6,94,-0.2272957794540799,-0.1257331071098941,-0.10156267234418578,0.11231782417681362,37,a_share,False
rolling_shapley,2022,2023,512880.SH,True,-0.11231297829584375,9,91,-0.23403167769976305,-0.1217186994039193,-0.11231297829584375,0.10796782997593458,38,a_share,False
rolling_shapley,2022,2023,512040.SH,True,-0.12787998581585103,7,93,-0.2507552542592867,-0.12287526844343567,-0.12787998581585103,0.15090275276330098,39,a_share,False
rolling_shapley,2022,2023,159949.SZ,True,-0.1415588767943532,11,89,-0.2578142677975196,-0.11625539100316638,-0.1415588767943532,0.13105951992312803,40,a_share,False
rolling_shapley,2022,2023,510050.SH,True,-0.14597591192934992,4,96,-0.2719637429027212,-0.12598783097337127,-0.14597591192934992,0.13637048327927628,41,a_share,False
rolling_shapley,2022,2023,159981.SZ,True,-0.15650037448836318,70,30,-0.1787769797970542,-0.022276605308691032,-0.15650037448836318,0.06564868611069666,42,commodity,False
rolling_shapley,2022,2023,159611.SZ,True,-0.1773649296636782,9,91,-0.2932289534444924,-0.1158640237808142,-0.1773649296636782,0.12804064969416934,43,a_share,False
rolling_shapley,2022,2023,510880.SH,True,-0.18486560561887125,5,95,-0.30744919278847294,-0.12258358716960169,-0.18486560561887125,0.19302047939957692,44,a_share,False
rolling_shapley,2022,2023,161226.SZ,True,-0.21003785290794982,68,32,-0.1990389803810892,0.010998872526860642,-0.21003785290794982,0.07383547985606703,45,commodity,False
rolling_shapley,2022,2023,159825.SZ,True,-0.21955831528378816,7,93,-0.33601610066446824,-0.11645778538068007,-0.21955831528378816,0.13064545637095432,46,a_share,False
rolling_shapley,2022,2023,159869.SZ,True,-0.23852040548831804,9,91,-0.3488804364449147,-0.11036003095659662,-0.23852040548831804,0.12817416835476556,47,a_share,False
rolling_shapley,2022,2023,159766.SZ,True,-0.2454949935995693,6,94,-0.36259216143414036,-0.11709716783457105,-0.2454949935995693,0.2154683291056232,48,a_share,False
rolling_shapley,2022,2023,512980.SH,True,-0.2568368692386555,10,90,-0.3629800497653352,-0.10614318052667972,-0.2568368692386555,0.08493486230545798,49,a_share,False
rolling_shapley,2022,2023,512660.SH,True,-0.5016911984501675,6,94,-0.6034165939937027,-0.1017253955435352,-0.5016911984501675,0.15841526385550153,50,a_share,False
rolling_shapley,2022,2023,159920.SZ,True,,100,0,-0.13182686745054523,,,,51,hong_kong,True
rolling_shapley,2022,2023,513070.SH,True,,100,0,-0.13182686745054523,,,,52,hong_kong,True
rolling_shapley,2022,2023,513180.SH,True,,0,100,,-0.13182686745054523,,,53,hong_kong,False
rolling_shapley,2022,2023,159201.SZ,False,,0,100,,-0.13182686745054523,,,,a_share,False
rolling_shapley,2022,2023,159206.SZ,False,,0,100,,-0.13182686745054523,,,,a_share,False
rolling_shapley,2022,2023,159209.SZ,False,,0,100,,-0.13182686745054523,,,,a_share,False
rolling_shapley,2022,2023,159326.SZ,False,,0,100,,-0.13182686745054523,,,,a_share,False
rolling_shapley,2022,2023,159329.SZ,False,,0,100,,-0.13182686745054523,,,,global,False
rolling_shapley,2022,2023,159509.SZ,False,,0,100,,-0.13182686745054523,,,,global,False
rolling_shapley,2022,2023,159518.SZ,False,,0,100,,-0.13182686745054523,,,,global,False
rolling_shapley,2022,2023,159529.SZ,False,,0,100,,-0.13182686745054523,,,,global,False
rolling_shapley,2022,2023,159687.SZ,False,,0,100,,-0.13182686745054523,,,,global,False
rolling_shapley,2022,2023,513120.SH,False,,0,100,,-0.13182686745054523,,,,hong_kong,False
rolling_shapley,2022,2023,513290.SH,False,,0,100,,-0.13182686745054523,,,,global,False
rolling_shapley,2022,2023,513310.SH,False,,0,100,,-0.13182686745054523,,,,global,False
rolling_shapley,2022,2023,513400.SH,False,,0,100,,-0.13182686745054523,,,,global,False
rolling_shapley,2022,2023,513730.SH,False,,0,100,,-0.13182686745054523,,,,global,False
rolling_shapley,2022,2023,513750.SH,False,,0,100,,-0.13182686745054523,,,,hong_kong,False
rolling_shapley,2022,2023,520870.SH,False,,0,100,,-0.13182686745054523,,,,global,False
rolling_shapley,2022,2023,563300.SH,False,,0,100,,-0.13182686745054523,,,,a_share,False
rolling_shapley,2022,2023,588200.SH,False,,0,100,,-0.13182686745054523,,,,a_share,False
rolling_shapley,2022,2023,588220.SH,False,,0,100,,-0.13182686745054523,,,,a_share,False
rolling_shapley,2023,2024,588200.SH,True,0.5809454769091802,10,90,0.8841241987909116,0.3031787218817314,0.5809454769091802,0.1259092702303772,1,a_share,True
rolling_shapley,2023,2024,512890.SH,True,0.5692806025126279,6,94,0.8963970359345197,0.3271164334218918,0.5692806025126279,0.2100693410085961,2,a_share,True
rolling_shapley,2023,2024,512980.SH,True,0.3915543614363419,6,94,0.7293343693228108,0.3377800078864689,0.3915543614363419,0.13223995567187632,3,a_share,True
rolling_shapley,2023,2024,512170.SH,True,0.3814137869042864,5,95,0.7236163671317215,0.3422025802274351,0.3814137869042864,0.16961954815240662,4,a_share,False
rolling_shapley,2023,2024,159985.SZ,True,0.38015943814044134,64,36,0.4981306673032083,0.11797122916276698,0.38015943814044134,0.09429589890580126,5,commodity,True
rolling_shapley,2023,2024,512100.SH,True,0.37393094722936293,10,90,0.6978111220790761,0.3238801748497132,0.37393094722936293,0.17295273639917644,6,a_share,False
rolling_shapley,2023,2024,515880.SH,True,0.3450305733802809,5,95,0.6890523142839162,0.3440217409036353,0.3450305733802809,0.2162289695544577,7,a_share,False
rolling_shapley,2023,2024,510180.SH,True,0.33849732686290884,6,94,0.6794607568237837,0.34096342996087486,0.33849732686290884,0.23466318151913979,8,a_share,False
rolling_shapley,2023,2024,518880.SH,True,0.21916201726542073,66,34,0.4357883554428925,0.2166263381774718,0.21916201726542073,0.10094297467262042,9,commodity,True
rolling_shapley,2023,2024,513120.SH,True,0.21606564467426584,63,37,0.44121755810212776,0.22515191342786192,0.21606564467426584,0.10220462430264435,10,hong_kong,True
rolling_shapley,2023,2024,159869.SZ,True,0.21562303199505573,10,90,0.5553339983681996,0.3397109663731439,0.21562303199505573,0.12407537470631355,11,a_share,False
rolling_shapley,2023,2024,159852.SZ,True,0.21459144404058067,8,92,0.5586973980899836,0.344105954049403,0.21459144404058067,0.1848789417684755,12,a_share,False
rolling_shapley,2023,2024,513310.SH,True,0.18353716411593385,35,65,0.48057242624800645,0.2970352621320726,0.18353716411593385,0.10507267317765338,13,global,True
rolling_shapley,2023,2024,513880.SH,True,0.17217381648515873,33,67,0.47662972661770575,0.304455910132547,0.17217381648515873,0.10892572380018244,14,global,True
rolling_shapley,2023,2024,512800.SH,True,0.17056819014014762,14,86,0.5079619130931764,0.3373937229530288,0.17056819014014762,0.11455321006451302,15,a_share,False
rolling_shapley,2023,2024,164824.SZ,True,0.1567627469605472,39,61,0.45689854521858325,0.30013579825803605,0.1567627469605472,0.1028973390635209,16,global,True
rolling_shapley,2023,2024,512040.SH,True,0.11418384266090964,4,96,0.4708897585271227,0.3567059158662131,0.11418384266090964,0.16361632213875488,17,a_share,False
rolling_shapley,2023,2024,513500.SH,True,0.11375029775939521,42,58,0.42724844227309866,0.31349814451370345,0.11375029775939521,0.10058696576257779,18,global,True
rolling_shapley,2023,2024,510210.SH,True,0.10114032756854596,9,91,0.45331096766002626,0.3521706400914803,0.10114032756854596,0.12141761994216384,19,a_share,False
rolling_shapley,2023,2024,159865.SZ,True,0.09540295883646066,2,98,0.45476816923238095,0.3593652103959203,0.09540295883646066,0.1836450903232001,20,a_share,False
rolling_shapley,2023,2024,512200.SH,True,0.09102599941877926,13,87,0.44046588906698736,0.3494398896482081,0.09102599941877926,0.10839203060920041,21,a_share,False
rolling_shapley,2023,2024,159928.SZ,True,0.08421561679990375,5,95,0.441278105532558,0.3570624887326542,0.08421561679990375,0.19200313912584935,22,a_share,False
rolling_shapley,2023,2024,510050.SH,True,0.07557630784313435,8,92,0.43080347278833303,0.3552271649451987,0.07557630784313435,0.19636680325094297,23,a_share,False
rolling_shapley,2023,2024,513030.SH,True,0.07057972924226752,40,60,0.40362110711800997,0.33304137787574245,0.07057972924226752,0.10218982309601618,24,global,False
rolling_shapley,2023,2024,159851.SZ,True,0.06963725907860346,12,88,0.4225540575618205,0.35291679848321705,0.06963725907860346,0.1811670627324988,25,a_share,False
rolling_shapley,2023,2024,510880.SH,True,0.05700512554224474,5,95,0.41542813883778196,0.3584230132955372,0.05700512554224474,0.23782526536361578,26,a_share,False
rolling_shapley,2023,2024,159981.SZ,True,0.052665212135232786,70,30,0.37707283321321927,0.3244076210779865,0.052665212135232786,0.1219963262622178,27,commodity,True
rolling_shapley,2023,2024,562500.SH,True,0.04760736774817631,6,94,0.4060241952559352,0.3584168275077589,0.04760736774817631,0.20007915788993905,28,a_share,False
rolling_shapley,2023,2024,159920.SZ,True,0.03945961713670165,69,31,0.37350575088502697,0.3340461337483253,0.03945961713670165,0.11340936948598805,29,hong_kong,True
rolling_shapley,2023,2024,159915.SZ,True,-0.012875399669049215,6,94,0.3491703938837432,0.3620457935527924,-0.012875399669049215,0.3001611309952829,30,a_share,False
rolling_shapley,2023,2024,588000.SH,True,-0.03528556832575641,8,92,0.3288105467129535,0.3640961150387099,-0.03528556832575641,0.18748280353031876,31,a_share,False
rolling_shapley,2023,2024,513100.SH,True,-0.038021843953729095,45,55,0.3403612553980984,0.3783830993518275,-0.038021843953729095,0.10142149769511433,32,global,False
rolling_shapley,2023,2024,159949.SZ,True,-0.03852396000137426,9,91,0.32621646597139886,0.3647404259727731,-0.03852396000137426,0.12323779219223123,33,a_share,False
rolling_shapley,2023,2024,159687.SZ,True,-0.05763606453480946,46,54,0.33014979472385236,0.3877858592586618,-0.05763606453480946,0.10039515541855851,34,global,False
rolling_shapley,2023,2024,513080.SH,True,-0.06431734850408205,36,64,0.32011016653003693,0.384427515034119,-0.06431734850408205,0.11314695554843429,35,global,False
rolling_shapley,2023,2024,510500.SH,True,-0.07806488910434817,11,89,0.2917955182697796,0.3698604073741278,-0.07806488910434817,0.1596202000260725,36,a_share,False
rolling_shapley,2023,2024,510300.SH,True,-0.08151118408905783,7,93,0.2854678683698257,0.3669790524588835,-0.08151118408905783,0.2653633304400588,37,a_share,False
rolling_shapley,2023,2024,513180.SH,True,-0.09613097359744627,39,61,0.3026333756782072,0.39876434927565346,-0.09613097359744627,0.09988580839843686,38,hong_kong,False
rolling_shapley,2023,2024,501018.SH,True,-0.10783629599285283,67,33,0.325687291895008,0.43352358788786083,-0.10783629599285283,0.10185286299247712,39,commodity,True
rolling_shapley,2023,2024,159901.SZ,True,-0.11113525942676172,6,94,0.2568061257114934,0.36794138513825514,-0.11113525942676172,0.3351245943757511,40,a_share,False
rolling_shapley,2023,2024,516150.SH,True,-0.12120193410655189,10,90,0.2521915288767527,0.3733934629833046,-0.12120193410655189,0.14961817500403357,41,a_share,False
