training_year,trial,codes,sharpe
2019,12,159920.SZ|159928.SZ|159949.SZ|164824.SZ|510050.SH|510210.SH|510300.SH|510880.SH|512200.SH|512880.SH|512890.SH|512980.SH|513030.SH|513100.SH|513500.SH,1.1358881021456078
2019,13,159901.SZ|159915.SZ|159920.SZ|160644.SZ|161226.SZ|501018.SH|510210.SH|510300.SH|510500.SH|510880.SH|512100.SH|512400.SH|512880.SH|513030.SH|513880.SH,1.5021713903740421
2019,14,159915.SZ|159949.SZ|160644.SZ|164824.SZ|510050.SH|510180.SH|510880.SH|512200.SH|512400.SH|512660.SH|512800.SH|513030.SH|513500.SH|513880.SH|518880.SH,1.4559096493706534
2019,15,159901.SZ|159920.SZ|159928.SZ|164824.SZ|510300.SH|510500.SH|510880.SH|512040.SH|512100.SH|512200.SH|512880.SH|513030.SH|513100.SH|513500.SH|513880.SH,1.607790458651047
2019,16,161226.SZ|164824.SZ|510050.SH|510300.SH|512040.SH|512200.SH|512400.SH|512880.SH|512890.SH|512980.SH|513030.SH|513100.SH|513500.SH|513880.SH|518880.SH,1.8005991018276606
2019,17,159901.SZ|159920.SZ|159928.SZ|501018.SH|510050.SH|510180.SH|510300.SH|510500.SH|510880.SH|512170.SH|512800.SH|512880.SH|512890.SH|513100.SH|513500.SH,1.3489458385088464
2019,18,159915.SZ|159949.SZ|160644.SZ|161226.SZ|510180.SH|510210.SH|510500.SH|510880.SH|512040.SH|512170.SH|512200.SH|513030.SH|513100.SH|513500.SH|513880.SH,1.4437543851947918
2019,19,159949.SZ|160644.SZ|161226.SZ|164824.SZ|510180.SH|510300.SH|512040.SH|512100.SH|512200.SH|512660.SH|512880.SH|512890.SH|512980.SH|513030.SH|518880.SH,0.9956645470003612
2019,20,159901.SZ|159920.SZ|159949.SZ|161226.SZ|501018.SH|510050.SH|510180.SH|510210.SH|512200.SH|512400.SH|512800.SH|512880.SH|513030.SH|513100.SH|518880.SH,1.5590041220852016
2019,21,159901.SZ|159949.SZ|501018.SH|510050.SH|510180.SH|510210.SH|510300.SH|510500.SH|510880.SH|512400.SH|512660.SH|512880.SH|512890.SH|513100.SH|513880.SH,1.32689811062245
2019,22,159920.SZ|159949.SZ|160644.SZ|164824.SZ|510050.SH|510300.SH|510880.SH|512040.SH|512200.SH|512660.SH|512800.SH|512880.SH|513100.SH|513500.SH|518880.SH,1.1605370018380476
2019,23,159915.SZ|159920.SZ|159928.SZ|160644.SZ|164824.SZ|510050.SH|510180.SH|510500.SH|512040.SH|512400.SH|512660.SH|512800.SH|512880.SH|513030.SH|518880.SH,1.1214575205350858
2019,24,159901.SZ|159928.SZ|161226.SZ|501018.SH|510180.SH|510210.SH|510300.SH|510500.SH|512040.SH|512170.SH|512800.SH|512880.SH|513100.SH|513880.SH|518880.SH,1.5998146559472166
2019,25,159901.SZ|159915.SZ|159920.SZ|159949.SZ|161226.SZ|510500.SH|510880.SH|512040.SH|512170.SH|512660.SH|512800.SH|512890.SH|512980.SH|513880.SH|518880.SH,1.7169194935472856
2019,26,159901.SZ|164824.SZ|510050.SH|510180.SH|510210.SH|510880.SH|512100.SH|512170.SH|512400.SH|512800.SH|512880.SH|512890.SH|512980.SH|513030.SH|518880.SH,1.6618974241645508
2019,27,159915.SZ|159920.SZ|159928.SZ|160644.SZ|161226.SZ|501018.SH|510180.SH|510210.SH|512040.SH|512170.SH|512890.SH|512980.SH|513030.SH|513500.SH|513880.SH,1.245652291665072
2019,28,159901.SZ|159915.SZ|160644.SZ|164824.SZ|510050.SH|510210.SH|510300.SH|510500.SH|510880.SH|512100.SH|512660.SH|512800.SH|512880.SH|513100.SH|518880.SH,1.437418369285334
2019,29,159901.SZ|159915.SZ|159920.SZ|159928.SZ|501018.SH|510210.SH|510300.SH|510500.SH|510880.SH|512660.SH|512880.SH|512890.SH|512980.SH|513030.SH|513880.SH,1.5087875496229768
2019,30,159915.SZ|159920.SZ|159949.SZ|510210.SH|510300.SH|510500.SH|512040.SH|512170.SH|512200.SH|512400.SH|512660.SH|512880.SH|513500.SH|513880.SH|518880.SH,1.552178307504101
2019,31,159901.SZ|159915.SZ|159920.SZ|160644.SZ|161226.SZ|501018.SH|510180.SH|512040.SH|512170.SH|512400.SH|512880.SH|513030.SH|513100.SH|513500.SH|518880.SH,1.4445874919584512
2019,32,159901.SZ|159928.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|510050.SH|510500.SH|512100.SH|512400.SH|512660.SH|512800.SH|512980.SH|513030.SH|518880.SH,0.7119627792363958
2019,33,159915.SZ|160644.SZ|161226.SZ|501018.SH|510180.SH|510300.SH|512100.SH|512170.SH|512400.SH|512800.SH|512890.SH|513030.SH|513100.SH|513880.SH|518880.SH,1.7879040427717705
2019,34,159901.SZ|159915.SZ|159928.SZ|161226.SZ|510050.SH|510300.SH|510500.SH|510880.SH|512040.SH|512170.SH|512200.SH|512660.SH|512800.SH|512880.SH|512980.SH,1.8436798825316134
2019,35,159901.SZ|159915.SZ|159949.SZ|160644.SZ|161226.SZ|501018.SH|510180.SH|510210.SH|510300.SH|512040.SH|512170.SH|512660.SH|512980.SH|513030.SH|518880.SH,1.1723313659344834
2019,36,159901.SZ|159920.SZ|159928.SZ|164824.SZ|510050.SH|510210.SH|510300.SH|510500.SH|512040.SH|512200.SH|512400.SH|512880.SH|513100.SH|513500.SH|513880.SH,1.5319778558924244
2019,37,159949.SZ|160644.SZ|164824.SZ|501018.SH|510050.SH|510180.SH|510210.SH|510500.SH|510880.SH|512040.SH|512200.SH|512800.SH|513030.SH|513500.SH|518880.SH,1.2321617520206158
2019,38,159901.SZ|159928.SZ|159949.SZ|160644.SZ|161226.SZ|501018.SH|510180.SH|510500.SH|510880.SH|512040.SH|512170.SH|512400.SH|512890.SH|513030.SH|518880.SH,1.2342879074977438
2019,39,159901.SZ|159920.SZ|159928.SZ|164824.SZ|510050.SH|510180.SH|510300.SH|510500.SH|512040.SH|512100.SH|512170.SH|512890.SH|513100.SH|513500.SH|518880.SH,1.3874040477629859
2019,40,159901.SZ|159915.SZ|159920.SZ|510050.SH|510210.SH|510300.SH|510500.SH|510880.SH|512040.SH|512100.SH|512400.SH|512880.SH|512890.SH|513500.SH|518880.SH,1.6023747075767645
2019,41,159901.SZ|159949.SZ|161226.SZ|510050.SH|510180.SH|510210.SH|510300.SH|510500.SH|510880.SH|512040.SH|512100.SH|512400.SH|513030.SH|513100.SH|513880.SH,1.8539774872375345
