training_year,holding_year,code,eligible,shapley_score,standard_error,included_mean_sharpe,excluded_mean_sharpe,included_count,excluded_count,rank,selected
2020,2021,512400.SH,True,-0.03513233262889237,0.07719390195393093,1.0254734509457573,1.0606057835746496,31,69,23,False
2020,2021,512890.SH,True,-0.045897413067408355,0.07209589003470204,1.0240122091419444,1.0699096222093527,44,56,24,False
2020,2021,510050.SH,True,-0.049929977302970885,0.07576917778105421,1.0177595749857915,1.0676895522887624,36,64,25,False
2020,2021,512660.SH,True,-0.060562864472990086,0.07258968201024524,1.0127714131311691,1.0733342776041592,39,61,26,False
2020,2021,515210.SH,True,-0.06774954394880961,0.07178634246526874,1.0070325477719428,1.0747820917207525,37,63,27,False
2020,2021,510210.SH,True,-0.0717867531994969,0.07289205710939466,1.0080784436039847,1.0798651968034816,42,58,28,False
2020,2021,515880.SH,True,-0.0746169673182755,0.07139950597851699,1.0056907497419103,1.0803077170601858,41,59,29,False
2020,2021,159901.SZ,True,-0.09206022355164167,0.07109681417236054,1.0009228419773228,1.0929830655289645,47,53,30,False
2020,2021,512170.SH,True,-0.10171970099919803,0.0685480363003441,0.9876657428501822,1.0893854438493802,39,61,31,False
2020,2021,512200.SH,True,-0.10849588137917332,0.07213252760848045,0.9824473140046056,1.090943195383779,38,62,32,False
2020,2021,512880.SH,True,-0.12378471594862128,0.06997492701186918,0.9841088610069236,1.107893576955545,47,53,33,False
2020,2021,159928.SZ,True,-0.1285630064760115,0.06827605801458926,0.9738625866388462,1.1024255931148577,41,59,34,False
2020,2021,513080.SH,True,-0.14481081703016752,0.06944619256196143,0.9671725947524975,1.111983411782665,43,57,35,False
2020,2021,161226.SZ,True,-0.15773313336930017,0.07184598555738403,0.9582295431054988,1.115962676474799,42,58,36,False
2020,2021,512800.SH,True,-0.15788056203721812,0.0675980475812514,0.9613016457188508,1.119182207756069,44,56,37,False
2020,2021,513500.SH,True,-0.16501619986799754,0.0709586565284874,0.9441043925441746,1.109120592412172,36,64,38,False
2020,2021,159201.SZ,False,,,,,0,100,,False
2020,2021,159206.SZ,False,,,,,0,100,,False
2020,2021,159209.SZ,False,,,,,0,100,,False
2020,2021,159326.SZ,False,,,,,0,100,,False
