method,training_period,holding_period,rank,code,group
rolling_shapley,2025-07-01/2025-12-31,2026-01-01/2026-06-30,10,513070.SH,hong_kong
rolling_shapley,2025-07-01/2025-12-31,2026-01-01/2026-06-30,11,513290.SH,global
rolling_shapley,2025-07-01/2025-12-31,2026-01-01/2026-06-30,12,515880.SH,a_share
rolling_shapley,2025-07-01/2025-12-31,2026-01-01/2026-06-30,13,518880.SH,commodity
rolling_shapley,2026-01-01/2026-06-30,2026-07-01/2026-07-26,1,159920.SZ,hong_kong
rolling_shapley,2026-01-01/2026-06-30,2026-07-01/2026-07-26,2,159967.SZ,a_share
rolling_shapley,2026-01-01/2026-06-30,2026-07-01/2026-07-26,3,159981.SZ,commodity
rolling_shapley,2026-01-01/2026-06-30,2026-07-01/2026-07-26,4,159985.SZ,commodity
rolling_shapley,2026-01-01/2026-06-30,2026-07-01/2026-07-26,5,160644.SZ,global
rolling_shapley,2026-01-01/2026-06-30,2026-07-01/2026-07-26,6,161226.SZ,commodity
rolling_shapley,2026-01-01/2026-06-30,2026-07-01/2026-07-26,7,501018.SH,commodity
rolling_shapley,2026-01-01/2026-06-30,2026-07-01/2026-07-26,8,513100.SH,global
rolling_shapley,2026-01-01/2026-06-30,2026-07-01/2026-07-26,9,513310.SH,global
rolling_shapley,2026-01-01/2026-06-30,2026-07-01/2026-07-26,10,513400.SH,global
rolling_shapley,2026-01-01/2026-06-30,2026-07-01/2026-07-26,11,513750.SH,hong_kong
rolling_shapley,2026-01-01/2026-06-30,2026-07-01/2026-07-26,12,515880.SH,a_share
rolling_shapley,2026-01-01/2026-06-30,2026-07-01/2026-07-26,13,588220.SH,a_share
