method,training_period,holding_period,code,eligible,shapley_score,included_count,excluded_count,included_mean_sharpe,excluded_mean_sharpe,contribution,standard_error,rank,group,selected
rolling_shapley,2023-07-01/2023-12-31,2024-01-01/2024-06-30,159326.SZ,False,,0,100,,-0.520588811986551,,,,a_share,False
rolling_shapley,2023-07-01/2023-12-31,2024-01-01/2024-06-30,159329.SZ,False,,0,100,,-0.520588811986551,,,,global,False
rolling_shapley,2023-07-01/2023-12-31,2024-01-01/2024-06-30,159518.SZ,False,,0,100,,-0.520588811986551,,,,global,False
rolling_shapley,2023-07-01/2023-12-31,2024-01-01/2024-06-30,159529.SZ,False,,0,100,,-0.520588811986551,,,,global,False
rolling_shapley,2023-07-01/2023-12-31,2024-01-01/2024-06-30,513400.SH,False,,0,100,,-0.520588811986551,,,,global,False
rolling_shapley,2023-07-01/2023-12-31,2024-01-01/2024-06-30,513730.SH,False,,0,100,,-0.520588811986551,,,,global,False
rolling_shapley,2023-07-01/2023-12-31,2024-01-01/2024-06-30,513750.SH,False,,0,100,,-0.520588811986551,,,,hong_kong,False
rolling_shapley,2023-07-01/2023-12-31,2024-01-01/2024-06-30,520870.SH,False,,0,100,,-0.520588811986551,,,,global,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,512800.SH,True,1.4215511306954816,6,94,2.176028311960547,0.7544771812650654,1.4215511306954816,0.4801434995363584,1,a_share,True
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,159509.SZ,True,0.7155460197379895,23,77,1.3907406843050463,0.6751946645670568,0.7155460197379895,0.19680387866376975,2,global,True
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,513100.SH,True,0.6958983048269171,27,73,1.3477760116304438,0.6518777068035267,0.6958983048269171,0.18499653312186073,3,global,True
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,159901.SZ,True,0.6338926336750557,8,92,1.4229514720878456,0.7890588384127899,0.6338926336750557,0.2048488692956373,4,a_share,True
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,159852.SZ,True,0.6332137354865665,6,94,1.4349911604641667,0.8017774249776003,0.6332137354865665,0.5294576615155094,5,a_share,True
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,159915.SZ,True,0.5580341933764832,8,92,1.353161707013159,0.7951275136366758,0.5580341933764832,0.4143228165597408,6,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,161226.SZ,True,0.5164625715275446,53,47,1.0825076577247403,0.5660450861971957,0.5164625715275446,0.1802897335826086,7,commodity,True
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,513500.SH,True,0.42302540260843535,25,75,1.157039301063121,0.7340138984546857,0.42302540260843535,0.20161749678650825,8,global,True
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,159766.SZ,True,0.4014904902500086,10,90,1.201111690331802,0.7996212000817934,0.4014904902500086,0.34490909819986826,9,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,501018.SH,True,0.38964095294911527,65,35,0.9761445826389846,0.5865036296898694,0.38964095294911527,0.1892340593367701,10,commodity,True
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,515210.SH,True,0.32559246239595974,12,88,1.1262916160152388,0.800699153619279,0.32559246239595974,0.2989664966062294,11,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,588200.SH,True,0.32379847770907355,10,90,1.1311888790449605,0.8073904013358869,0.32379847770907355,0.3407283974187977,12,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,159869.SZ,True,0.3203785844300422,6,94,1.140926118471034,0.8205475340409918,0.3203785844300422,0.27229083258138326,13,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,512890.SH,True,0.31323139428797564,7,93,1.1310754457946117,0.8178440515066361,0.31323139428797564,0.32289098437722985,14,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,159920.SZ,True,0.29501853055274285,44,56,1.0049806262163303,0.7099620956635875,0.29501853055274285,0.18238368335171068,15,hong_kong,True
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,512100.SH,True,0.28859090820500777,6,94,1.1110457028195015,0.8224547946144938,0.28859090820500777,0.26579033323720097,16,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,159870.SZ,True,0.2524811010358061,9,91,1.0695280510493779,0.8170469500135717,0.2524811010358061,0.29120325712000666,17,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,512980.SH,True,0.21770785534440806,5,95,1.046592711683982,0.8288848563395739,0.21770785534440806,0.4150910972374909,18,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,518880.SH,True,0.12190290610867915,70,30,0.8763411209393981,0.7544382148307189,0.12190290610867915,0.22464728687142596,19,commodity,True
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,512400.SH,True,0.10764912589599407,8,92,0.938807444931109,0.831158319035115,0.10764912589599407,0.2575513585796258,20,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,513750.SH,True,0.09325020851168608,47,53,0.889192859617988,0.7959426511063019,0.09325020851168608,0.186389866959836,21,hong_kong,True
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,512200.SH,True,0.07717602232110732,9,91,0.910000429419002,0.8328244070978947,0.07717602232110732,0.3152986941357868,22,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,563300.SH,True,0.06126250130903799,13,87,0.8930686252456573,0.8318061239366193,0.06126250130903799,0.24996218093109535,23,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,159985.SZ,True,0.054729739819738166,67,33,0.857831063247308,0.8031013234275698,0.054729739819738166,0.17148485500552516,24,commodity,True
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,510880.SH,True,0.016090563116138545,6,94,0.8548953784359646,0.8388048153198261,0.016090563116138545,0.3927613454734751,25,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,512880.SH,True,7.933093924950008e-05,4,96,0.8398464068084739,0.8397670758692244,7.933093924950008e-05,0.5551707001725537,26,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,159529.SZ,True,-0.016635237182748175,24,76,0.8271274688479057,0.8437627060306538,-0.016635237182748175,0.23437891644953646,27,global,True
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,512660.SH,True,-0.03823196291851316,11,89,0.8057438021093176,0.8439757650278308,-0.03823196291851316,0.3667259636533823,28,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,159687.SZ,True,-0.04343336782482954,26,74,0.8076295569164205,0.85106292474125,-0.04343336782482954,0.23183011235861678,29,global,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,513400.SH,True,-0.06524632597870961,30,70,0.7940978209216977,0.8593441469004073,-0.06524632597870961,0.19024190099352029,30,global,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,159825.SZ,True,-0.07328367513978917,4,96,0.7694179209725969,0.842701596112386,-0.07328367513978917,0.8927183650377117,31,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,513070.SH,True,-0.08373944743948503,19,81,0.7719412966808115,0.8556807441202965,-0.08373944743948503,0.28227397724678804,32,hong_kong,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,513290.SH,True,-0.09401799320016979,25,75,0.769256754206667,0.8632747474068367,-0.09401799320016979,0.20542376776717752,33,global,False
