method,training_period,holding_period,rank,code,group
rolling_beam_search,2025-07-01/2025-12-31,2026-01-01/2026-06-30,6,510210.SH,a_share
rolling_beam_search,2025-07-01/2025-12-31,2026-01-01/2026-06-30,7,512890.SH,a_share
rolling_beam_search,2025-07-01/2025-12-31,2026-01-01/2026-06-30,8,513070.SH,hong_kong
rolling_beam_search,2025-07-01/2025-12-31,2026-01-01/2026-06-30,9,513120.SH,hong_kong
rolling_beam_search,2025-07-01/2025-12-31,2026-01-01/2026-06-30,10,513290.SH,global
rolling_beam_search,2025-07-01/2025-12-31,2026-01-01/2026-06-30,11,513400.SH,global
rolling_beam_search,2025-07-01/2025-12-31,2026-01-01/2026-06-30,12,515880.SH,a_share
rolling_beam_search,2025-07-01/2025-12-31,2026-01-01/2026-06-30,13,518880.SH,commodity
rolling_beam_search,2026-01-01/2026-06-30,2026-07-01/2026-07-26,1,159509.SZ,global
rolling_beam_search,2026-01-01/2026-06-30,2026-07-01/2026-07-26,2,159985.SZ,commodity
rolling_beam_search,2026-01-01/2026-06-30,2026-07-01/2026-07-26,3,160644.SZ,global
rolling_beam_search,2026-01-01/2026-06-30,2026-07-01/2026-07-26,4,161226.SZ,commodity
rolling_beam_search,2026-01-01/2026-06-30,2026-07-01/2026-07-26,5,501018.SH,commodity
rolling_beam_search,2026-01-01/2026-06-30,2026-07-01/2026-07-26,6,512980.SH,a_share
rolling_beam_search,2026-01-01/2026-06-30,2026-07-01/2026-07-26,7,513120.SH,hong_kong
rolling_beam_search,2026-01-01/2026-06-30,2026-07-01/2026-07-26,8,513180.SH,hong_kong
rolling_beam_search,2026-01-01/2026-06-30,2026-07-01/2026-07-26,9,513310.SH,global
rolling_beam_search,2026-01-01/2026-06-30,2026-07-01/2026-07-26,10,513500.SH,global
rolling_beam_search,2026-01-01/2026-06-30,2026-07-01/2026-07-26,11,515880.SH,a_share
rolling_beam_search,2026-01-01/2026-06-30,2026-07-01/2026-07-26,12,518880.SH,commodity
rolling_beam_search,2026-01-01/2026-06-30,2026-07-01/2026-07-26,13,588200.SH,a_share
