method,training_period,holding_period,code,eligible,excess_elite_frequency,elite_inclusion_rate,overall_inclusion_rate,rank,group,selected
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159901.SZ,True,-0.019999999999999997,0.04,0.06,33,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159611.SZ,True,-0.020000000000000004,0.08,0.1,34,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,516150.SH,True,-0.020000000000000004,0.08,0.1,35,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159981.SZ,True,-0.020000000000000018,0.64,0.66,36,commodity,True
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512880.SH,True,-0.03,0.08,0.11,37,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512040.SH,True,-0.030000000000000006,0.04,0.07,38,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512980.SH,True,-0.030000000000000006,0.04,0.07,39,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,510880.SH,True,-0.04,0.04,0.08,40,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,510300.SH,True,-0.049999999999999996,0.04,0.09,41,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,588000.SH,True,-0.049999999999999996,0.04,0.09,42,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,510500.SH,True,-0.05,0.08,0.13,43,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512800.SH,True,-0.06,0.0,0.06,44,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159949.SZ,True,-0.07,0.04,0.11,45,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512100.SH,True,-0.07,0.0,0.07,46,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159865.SZ,True,-0.08,0.0,0.08,47,a_share,False
