method,training_year,holding_year,code,eligible,posterior_mean_sharpe,observations,rank,group,selected
rolling_ucb_sampling,2021,2022,510300.SH,True,0.46006647046326465,10.0,29,a_share,False
rolling_ucb_sampling,2021,2022,159985.SZ,True,0.4582379198470409,65.0,30,commodity,True
rolling_ucb_sampling,2021,2022,159928.SZ,True,0.44640990896265964,11.0,31,a_share,False
rolling_ucb_sampling,2021,2022,513080.SH,True,0.43342482635378593,55.0,32,global,False
rolling_ucb_sampling,2021,2022,512980.SH,True,0.41920595827104484,7.0,33,a_share,False
rolling_ucb_sampling,2021,2022,159870.SZ,True,0.41226221972258215,7.0,34,a_share,False
rolling_ucb_sampling,2021,2022,161226.SZ,True,0.40887108932295946,57.0,35,commodity,False
rolling_ucb_sampling,2021,2022,513880.SH,True,0.40853072084296754,43.0,36,global,False
rolling_ucb_sampling,2021,2022,159901.SZ,True,0.3794859291475209,11.0,37,a_share,False
rolling_ucb_sampling,2021,2022,515210.SH,True,0.3719874805922946,7.0,38,a_share,False
rolling_ucb_sampling,2021,2022,515220.SH,True,0.3289365298042272,7.0,39,a_share,False
rolling_ucb_sampling,2021,2022,512800.SH,True,0.31568449480768906,6.0,40,a_share,False
rolling_ucb_sampling,2021,2022,512200.SH,True,0.2824432627173136,6.0,41,a_share,False
rolling_ucb_sampling,2021,2022,510050.SH,True,0.24242056726597586,7.0,42,a_share,False
rolling_ucb_sampling,2021,2022,512400.SH,True,0.21386663884347046,5.0,43,a_share,False
rolling_ucb_sampling,2021,2022,518880.SH,True,0.18863915643799586,44.0,44,commodity,False
rolling_ucb_sampling,2021,2022,510180.SH,True,0.17834652645497423,7.0,45,a_share,False
rolling_ucb_sampling,2021,2022,159852.SZ,True,0.1168889131013627,6.0,46,a_share,False
rolling_ucb_sampling,2021,2022,516150.SH,True,0.03999474145400284,5.0,47,a_share,False
rolling_ucb_sampling,2021,2022,512170.SH,True,-0.046008667798074526,6.0,48,a_share,False
rolling_ucb_sampling,2021,2022,159201.SZ,False,,,,a_share,False
rolling_ucb_sampling,2021,2022,159206.SZ,False,,,,a_share,False
rolling_ucb_sampling,2021,2022,159209.SZ,False,,,,a_share,False
rolling_ucb_sampling,2021,2022,159326.SZ,False,,,,a_share,False
rolling_ucb_sampling,2021,2022,159329.SZ,False,,,,global,False
rolling_ucb_sampling,2021,2022,159509.SZ,False,,,,global,False
rolling_ucb_sampling,2021,2022,159518.SZ,False,,,,global,False
rolling_ucb_sampling,2021,2022,159529.SZ,False,,,,global,False
rolling_ucb_sampling,2021,2022,159611.SZ,False,,,,a_share,False
rolling_ucb_sampling,2021,2022,159687.SZ,False,,,,global,False
rolling_ucb_sampling,2021,2022,159766.SZ,False,,,,a_share,False
rolling_ucb_sampling,2021,2022,159796.SZ,False,,,,a_share,False
rolling_ucb_sampling,2021,2022,513070.SH,False,,,,hong_kong,False
rolling_ucb_sampling,2021,2022,513120.SH,False,,,,hong_kong,False
rolling_ucb_sampling,2021,2022,513290.SH,False,,,,global,False
rolling_ucb_sampling,2021,2022,513310.SH,False,,,,global,False
rolling_ucb_sampling,2021,2022,513400.SH,False,,,,global,False
rolling_ucb_sampling,2021,2022,513730.SH,False,,,,global,False
rolling_ucb_sampling,2021,2022,513750.SH,False,,,,hong_kong,False
rolling_ucb_sampling,2021,2022,520870.SH,False,,,,global,False
rolling_ucb_sampling,2021,2022,562500.SH,False,,,,a_share,False
rolling_ucb_sampling,2021,2022,563300.SH,False,,,,a_share,False
rolling_ucb_sampling,2021,2022,588200.SH,False,,,,a_share,False
rolling_ucb_sampling,2021,2022,588220.SH,False,,,,a_share,False
rolling_ucb_sampling,2022,2023,159796.SZ,True,0.16450740695656837,12.0,1,a_share,True
rolling_ucb_sampling,2022,2023,515210.SH,True,0.14305655838102582,8.0,2,a_share,True
rolling_ucb_sampling,2022,2023,562500.SH,True,0.12176075867732927,10.0,3,a_share,True
rolling_ucb_sampling,2022,2023,159852.SZ,True,0.11210723191996827,9.0,4,a_share,False
rolling_ucb_sampling,2022,2023,512170.SH,True,0.07935863728181079,9.0,5,a_share,False
rolling_ucb_sampling,2022,2023,159901.SZ,True,0.0669871332462689,9.0,6,a_share,False
rolling_ucb_sampling,2022,2023,510300.SH,True,0.04870394313233153,11.0,7,a_share,False
rolling_ucb_sampling,2022,2023,510180.SH,True,0.03567137650972907,11.0,8,a_share,False
rolling_ucb_sampling,2022,2023,159851.SZ,True,0.03063630434619271,10.0,9,a_share,False
rolling_ucb_sampling,2022,2023,515790.SH,True,0.027730905313257646,11.0,10,a_share,False
rolling_ucb_sampling,2022,2023,159985.SZ,True,0.020506458028034698,69.0,11,commodity,True
rolling_ucb_sampling,2022,2023,512400.SH,True,0.013240702137247611,9.0,12,a_share,False
rolling_ucb_sampling,2022,2023,510210.SH,True,0.0041891232299080695,7.0,13,a_share,False
rolling_ucb_sampling,2022,2023,510500.SH,True,0.002717303741849091,6.0,14,a_share,False
rolling_ucb_sampling,2022,2023,513180.SH,True,0.0,0.0,15,hong_kong,False
rolling_ucb_sampling,2022,2023,159915.SZ,True,-0.0007995820138678246,7.0,16,a_share,False
rolling_ucb_sampling,2022,2023,164824.SZ,True,-0.007476181812935782,77.0,17,global,True
rolling_ucb_sampling,2022,2023,515220.SH,True,-0.01060840178243346,10.0,18,a_share,False
rolling_ucb_sampling,2022,2023,160644.SZ,True,-0.048836796529295755,79.0,19,global,True
rolling_ucb_sampling,2022,2023,516150.SH,True,-0.05748283321706178,8.0,20,a_share,False
rolling_ucb_sampling,2022,2023,518880.SH,True,-0.06039557330475457,77.0,21,commodity,True
rolling_ucb_sampling,2022,2023,159967.SZ,True,-0.06270006304593549,7.0,22,a_share,False
rolling_ucb_sampling,2022,2023,501018.SH,True,-0.06938866716549895,65.0,23,commodity,True
rolling_ucb_sampling,2022,2023,513030.SH,True,-0.07009041555465655,53.0,24,global,True
rolling_ucb_sampling,2022,2023,159920.SZ,True,-0.07413032187824473,100.0,25,hong_kong,True
rolling_ucb_sampling,2022,2023,513070.SH,True,-0.07413032187824473,100.0,26,hong_kong,True
rolling_ucb_sampling,2022,2023,159611.SZ,True,-0.07570962696693255,6.0,27,a_share,False
rolling_ucb_sampling,2022,2023,513080.SH,True,-0.080163989313895,42.0,28,global,False
