method,training_period,holding_period,code,eligible,ridge_coefficient,rank,group,selected
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,160644.SZ,True,0.04340631471891579,22,global,True
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,518880.SH,True,0.04070605151856393,23,commodity,True
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513080.SH,True,0.0040208075431068385,24,global,True
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159870.SZ,True,0.00208904940702888,25,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513070.SH,True,0.0,26,hong_kong,True
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,515220.SH,True,-0.008130509580764545,27,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159928.SZ,True,-0.01557813066245621,28,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512400.SH,True,-0.015778058110658518,29,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,510500.SH,True,-0.03005598340418753,30,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512800.SH,True,-0.054942963034078286,31,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,515210.SH,True,-0.062148899498645986,32,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159949.SZ,True,-0.06710208603788777,33,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159851.SZ,True,-0.06830813108639645,34,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159980.SZ,True,-0.07539223170952854,35,commodity,True
